refDate,geo,valNormP_TotNPOs,valNormP_BusNPOs,valNormP_CommNPOs,valNormP_GovNPOs,valNorm_TotNPOs,valNorm_BusNPOs,valNorm_CommNPOs,valNorm_GovNPOs
2016-01-01,NL,1.0789473684210527,1,1.2,1.064516129032258,41000,2000,6000,33000
2016-01-01,NS,1.1666666666666667,1.3333333333333333,1.1333333333333333,1.1914893617021276,77000,4000,17000,56000
2016-01-01,NT,1.3333333333333333,NA,1,1.5,4000,0,1000,3000
2016-01-01,NU,1,NA,1,NA,1000,0,1000,0
2016-01-01,ON,1.119047619047619,1.1594202898550725,1.2291666666666667,1.0663716814159292,799000,80000,236000,482000
2016-01-01,PE,1.2,1,1,1.125,12000,1000,2000,9000
2016-01-01,QC,1.0994475138121547,1.3823529411764706,1.1328125,1.062992125984252,597000,47000,145000,405000
2016-01-01,SK,1.2162162162162162,1,1.3571428571428572,1.1754385964912282,90000,4000,19000,67000
2016-01-01,YT,2,NA,1,Inf,2000,0,1000,1000
2017-01-01,AB,1.2017543859649122,1.3333333333333333,1.2708333333333333,1.1636363636363636,274000,20000,61000,192000
2017-01-01,BC,1.2248062015503876,1.6,1.323076923076923,1.1379310344827587,316000,32000,86000,198000
2017-01-01,CA,1.1490593342981186,1.2903225806451613,1.2380952380952381,1.1025459688826025,2382000,200000,624000,1559000
2017-01-01,MB,1.1875,1.2,1.3478260869565217,1.1304347826086956,114000,6000,31000,78000
2017-01-01,NB,1.2439024390243902,1,1.2222222222222223,1.2413793103448276,51000,3000,11000,36000
2017-01-01,NL,1.0526315789473684,1,1.2,1.032258064516129,40000,2000,6000,32000
2017-01-01,NS,1.1818181818181819,1.3333333333333333,1.1333333333333333,1.2127659574468086,78000,4000,17000,57000
2017-01-01,NT,1.3333333333333333,NA,1,1.5,4000,0,1000,3000
2017-01-01,NU,1,NA,1,NA,1000,0,1000,0
2017-01-01,ON,1.1330532212885154,1.1594202898550725,1.2552083333333333,1.079646017699115,809000,80000,241000,488000
2017-01-01,PE,1.2,1,1,1.125,12000,1000,2000,9000
2017-01-01,QC,1.0865561694290975,1.3823529411764706,1.1484375,1.0393700787401574,590000,47000,147000,396000
2017-01-01,SK,1.2162162162162162,1,1.3571428571428572,1.1578947368421053,90000,4000,19000,66000
2017-01-01,YT,2,NA,1,Inf,2000,0,1000,1000
2018-01-01,AB,1.2324561403508771,1.4,1.3125,1.1939393939393939,281000,21000,63000,197000
2018-01-01,BC,1.255813953488372,1.6,1.3384615384615384,1.1781609195402298,324000,32000,87000,205000
2018-01-01,CA,1.171731789676797,1.303225806451613,1.2638888888888888,1.1244695898161245,2429000,202000,637000,1590000
2018-01-01,MB,1.1979166666666667,1.2,1.3478260869565217,1.1159420289855073,115000,6000,31000,77000
2018-01-01,NB,1.2439024390243902,1,1.2222222222222223,1.2413793103448276,51000,3000,11000,36000
2018-01-01,NL,1.105263157894737,1,1.4,1.064516129032258,42000,2000,7000,33000
2018-01-01,NS,1.2121212121212122,1.3333333333333333,1.1333333333333333,1.2553191489361701,80000,4000,17000,59000
2018-01-01,NT,1.3333333333333333,NA,1,1.5,4000,0,1000,3000
2018-01-01,NU,1,NA,1,NA,1000,0,1000,0
2018-01-01,ON,1.1484593837535013,1.1594202898550725,1.2864583333333333,1.0907079646017699,820000,80000,247000,493000
2018-01-01,PE,1.2,1,1,1.125,12000,1000,2000,9000
2018-01-01,QC,1.1141804788213627,1.411764705882353,1.1640625,1.073490813648294,605000,48000,149000,409000
2018-01-01,SK,1.2432432432432432,1,1.3571428571428572,1.1929824561403508,92000,4000,19000,68000
2018-01-01,YT,2,NA,1,Inf,2000,0,1000,1000
2019-01-01,AB,1.280701754385965,1.4,1.3958333333333333,1.2424242424242424,292000,21000,67000,205000
2019-01-01,BC,1.302325581395349,1.65,1.3846153846153846,1.2241379310344827,336000,33000,90000,213000
2019-01-01,CA,1.200675349734684,1.335483870967742,1.2936507936507937,1.1527581329561527,2489000,207000,652000,1630000
2019-01-01,MB,1.1979166666666667,1.2,1.391304347826087,1.1159420289855073,115000,6000,32000,77000
2019-01-01,NB,1.2682926829268293,1,1.2222222222222223,1.3103448275862069,52000,3000,11000,38000
2019-01-01,NL,1.105263157894737,1,1.4,1.096774193548387,42000,2000,7000,34000
2019-01-01,NS,1.2424242424242424,1.3333333333333333,1.1333333333333333,1.2765957446808511,82000,4000,17000,60000
2019-01-01,NT,1.6666666666666667,NA,1,1.5,5000,0,1000,3000
2019-01-01,NU,1,NA,1,NA,1000,0,1000,0
2019-01-01,ON,1.169467787114846,1.2028985507246377,1.3177083333333333,1.1039823008849559,835000,83000,253000,499000
2019-01-01,PE,1.3,1,1,1.25,13000,1000,2000,10000
2019-01-01,QC,1.143646408839779,1.411764705882353,1.171875,1.110236220472441,621000,48000,150000,423000
2019-01-01,SK,1.2432432432432432,1.25,1.4285714285714286,1.1929824561403508,92000,5000,20000,68000
2019-01-01,YT,2,NA,1,Inf,2000,0,1000,1000
2020-01-01,AB,1.1929824561403508,1.1333333333333333,1.2083333333333333,1.187878787878788,272000,17000,58000,196000
2020-01-01,BC,1.2596899224806202,1.45,1.2615384615384615,1.2241379310344827,325000,29000,82000,213000
2020-01-01,CA,1.1490593342981186,1.1870967741935483,1.1626984126984128,1.1407355021216408,2382000,184000,586000,1613000
2020-01-01,MB,1.15625,1.2,1.2173913043478262,1.1159420289855073,111000,6000,28000,77000
2020-01-01,NB,1.2682926829268293,1,1.1111111111111112,1.3103448275862069,52000,3000,10000,38000
2020-01-01,NL,1.0526315789473684,1,1.2,1.064516129032258,40000,2000,6000,33000
2020-01-01,NS,1.2121212121212122,1.3333333333333333,1.0666666666666667,1.2765957446808511,80000,4000,16000,60000
2020-01-01,NT,1.3333333333333333,NA,1,1.5,4000,0,1000,3000
2020-01-01,NU,1,NA,1,NA,1000,0,1000,0
2020-01-01,ON,1.0952380952380953,1.0289855072463767,1.1614583333333333,1.079646017699115,782000,71000,223000,488000
2020-01-01,PE,1.4,1,1,1.5,14000,1000,2000,12000
2020-01-01,QC,1.1178637200736647,1.3235294117647058,1.078125,1.110236220472441,607000,45000,138000,423000
2020-01-01,SK,1.2162162162162162,1,1.2857142857142858,1.1929824561403508,90000,4000,18000,68000
2020-01-01,YT,2,NA,1,Inf,2000,0,1000,1000
2021-01-01,AB,1.25,1.2666666666666666,1.2708333333333333,1.2424242424242424,285000,19000,61000,205000
2021-01-01,BC,1.2984496124031009,1.65,1.3384615384615384,1.2413793103448276,335000,33000,87000,216000
2021-01-01,CA,1.2136999517607332,1.3225806451612903,1.25,1.1895332390381896,2516000,205000,630000,1682000
2021-01-01,MB,1.1770833333333333,1.2,1.2608695652173914,1.1159420289855073,113000,6000,29000,77000
2021-01-01,NB,1.3658536585365855,1,1.2222222222222223,1.4137931034482758,56000,3000,11000,41000
2021-01-01,NL,1.105263157894737,1,1.2,1.096774193548387,42000,2000,6000,34000
2021-01-01,NS,1.2727272727272727,1.6666666666666667,1.2,1.297872340425532,84000,5000,18000,61000
2021-01-01,NT,1.6666666666666667,NA,1,2,5000,0,1000,4000
2021-01-01,NU,1,NA,1,NA,1000,0,1000,0
2021-01-01,ON,1.180672268907563,1.1594202898550725,1.2760416666666667,1.1438053097345133,843000,80000,245000,517000
2021-01-01,PE,1.6,1,1.5,1.625,16000,1000,3000,13000
2021-01-01,QC,1.1786372007366483,1.4705882352941178,1.15625,1.1601049868766404,640000,50000,148000,442000
2021-01-01,SK,1.2837837837837838,1.25,1.3571428571428572,1.2456140350877194,95000,5000,19000,71000
2021-01-01,YT,2,NA,1,Inf,2000,0,1000,1000
