Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Province,Marker
Marital status,Separated/divorced,2013,gs1datot,444.55523745861154,7.9044997721629775,375.68236228228346,513.4281126349396,1159,Total amount of donations,Average total amount of donations,CA (without QC),NA,
Marital status,"Single, never married",2013,gs1datot,383.25520563063793,12.122133452125047,292.19781218438277,474.3125990768931,1915,Total amount of donations,Average total amount of donations,CA (without QC),NA,
Labour force status,Employed,2013,gs1datot,631.2847966047104,4.818645409011048,571.6639154685436,690.9056777408773,5771,Total amount of donations,Average total amount of donations,CA (without QC),NA,
Labour force status,Unemployed,2013,gs1datot,305.7488229839459,27.699123576118804,139.75997427477026,471.73767169312157,302,Total amount of donations,Average total amount of donations,CA (without QC),NA,*
Labour force status,Not in labour force,2013,gs1datot,606.4335908344677,5.646558719912995,539.3192716431535,673.547910025782,3800,Total amount of donations,Average total amount of donations,CA (without QC),NA,
Labour force status,Unable to determine,2013,gs1datot,602.7267771921167,15.069349220735157,424.7091226805556,780.744431703678,560,Total amount of donations,Average total amount of donations,CA (without QC),NA,
Personal income category,"Less than $20,000",2013,gs1datot,385.84403271518204,14.683457489138402,274.8017939243741,496.88627150598995,704,Total amount of donations,Average total amount of donations,CA (without QC),NA,
Personal income category,"$20,000 to $39,999",2013,gs1datot,550.7595220335753,15.401422132953984,384.5059711430954,717.0130729240552,1651,Total amount of donations,Average total amount of donations,CA (without QC),NA,
Personal income category,"$40,000 to $59,999",2013,gs1datot,404.34098614901666,6.227238328912345,354.9905103290657,453.6914619689676,1751,Total amount of donations,Average total amount of donations,CA (without QC),NA,
Personal income category,"$60,000 to $79,999",2013,gs1datot,531.9006033275259,7.247562397473918,456.3443286046592,607.4568780503926,1477,Total amount of donations,Average total amount of donations,CA (without QC),NA,
Personal income category,"$80,000 to $99,999",2013,gs1datot,522.7204085293632,7.427947113465372,446.6201117420421,598.8207053166843,1301,Total amount of donations,Average total amount of donations,CA (without QC),NA,
Personal income category,"$100,000 to $119,999",2013,gs1datot,802.2248672851656,12.969365805281852,598.3033983253325,1006.1463362449987,978,Total amount of donations,Average total amount of donations,CA (without QC),NA,
Personal income category,"$120,000 to $139,999",2013,gs1datot,488.8004960552924,7.9378750222457954,412.7531633979798,564.847828712605,762,Total amount of donations,Average total amount of donations,CA (without QC),NA,
Personal income category,"$140,000 or more",2013,gs1datot,831.9943095786426,6.248918190305099,730.0945202886066,933.8940988686786,1809,Total amount of donations,Average total amount of donations,CA (without QC),NA,
Frequency of religious attendance,At least once a week,2013,gs1datot,1355.6094876315226,5.015195616766672,1222.3584596912517,1488.8605155717935,2262,Total amount of donations,Average total amount of donations,CA (without QC),NA,
Frequency of religious attendance,At least once a month,2013,gs1datot,702.1817526935947,12.908501186126747,524.5283830205096,879.8351223666798,1128,Total amount of donations,Average total amount of donations,CA (without QC),NA,
Frequency of religious attendance,At least 3 times a year,2013,gs1datot,483.8952101439432,9.87725691009966,390.2176082835867,577.5728120042997,1131,Total amount of donations,Average total amount of donations,CA (without QC),NA,
Frequency of religious attendance,Once or twice a year,2013,gs1datot,324.44156557336237,14.878212029395959,229.8319401658831,419.0511909808416,1342,Total amount of donations,Average total amount of donations,CA (without QC),NA,
Frequency of religious attendance,Not at all,2013,gs1datot,362.81248419821014,7.58758550507934,308.85720903245345,416.76775936396683,3931,Total amount of donations,Average total amount of donations,CA (without QC),NA,
Frequency of religious attendance,Not stated,2013,gs1datot,611.6879847844847,13.783458875443419,446.4399681269217,776.9360014420477,639,Total amount of donations,Average total amount of donations,CA (without QC),NA,
Immigration status,Native-born,2013,gs1datot,609.8720732826876,4.282834067663672,558.678188509133,661.0659580562422,8278,Total amount of donations,Average total amount of donations,CA (without QC),NA,
Immigration status,Naturalized,2013,gs1datot,634.8704566167004,7.991783455173282,535.426838607289,734.3140746261117,1187,Total amount of donations,Average total amount of donations,CA (without QC),NA,
Immigration status,Non-Canadian,2013,gs1datot,519.0324821096831,19.717439907347668,318.4499291200922,719.615035099274,323,Total amount of donations,Average total amount of donations,CA (without QC),NA,*
Immigration status,Unknown,2013,gs1datot,624.7684462815783,12.981668356302617,465.8048466541455,783.7320459090113,645,Total amount of donations,Average total amount of donations,CA (without QC),NA,
Immigration status (dcit2),Native-born,2013,gs1datot,606.7042634799269,4.296748460752755,555.6108323902707,657.7976945695831,8314,Total amount of donations,Average total amount of donations,CA (without QC),NA,
Immigration status (dcit2),Naturalized,2013,gs1datot,635.8914027934601,7.314038296260057,544.7347700317977,727.0480355551225,1384,Total amount of donations,Average total amount of donations,CA (without QC),NA,
Immigration status (dcit2),Non-Canadian,2013,gs1datot,570.4438838022102,21.585866733306926,329.10321574525346,811.7845518591669,172,Total amount of donations,Average total amount of donations,CA (without QC),NA,*
Immigration status (dcit2),Unknown,2013,gs1datot,590.3225026833878,14.980235352618115,416.99955511852954,763.6454502482461,563,Total amount of donations,Average total amount of donations,CA (without QC),NA,
Age group,15 to 24 years,2013,gs1datot,380.1782866889717,35.35928110315668,116.70364238265711,643.6529309952863,57,Total amount of donations,Average total amount of donations,AB,NA,...
Age group,25 to 34 years,2013,gs1datot,731.325807070041,39.04233329226713,171.70383870864362,1290.9477754314385,129,Total amount of donations,Average total amount of donations,AB,NA,...
Age group,35 to 44 years,2013,gs1datot,766.5673051840416,17.371612927739633,505.5684952156846,1027.5661151523987,180,Total amount of donations,Average total amount of donations,AB,NA,*
Age group,45 to 54 years,2013,gs1datot,964.762455340638,18.399258767561722,616.8509327391873,1312.6739779420886,177,Total amount of donations,Average total amount of donations,AB,NA,*
Age group,55 to 64 years,2013,gs1datot,1463.952428901198,13.578616551270379,1074.3419940614554,1853.5628637409404,158,Total amount of donations,Average total amount of donations,AB,NA,
Age group,65 to 74 years,2013,gs1datot,959.7229728888691,21.482300903455048,555.6360675409032,1363.809878236835,108,Total amount of donations,Average total amount of donations,AB,NA,*
Age group,75 years and over,2013,gs1datot,829.1449571839447,24.208542823129516,435.733318777598,1222.5565955902914,79,Total amount of donations,Average total amount of donations,AB,NA,*
Age group,15 to 24 years,2013,gs1datot,130.32517398899503,19.054491448143423,81.65378205395581,178.99656592403426,162,Total amount of donations,Average total amount of donations,AT,NA,*
Age group,25 to 34 years,2013,gs1datot,207.31470288476726,14.10985497652741,149.98222071470346,264.6471850548311,351,Total amount of donations,Average total amount of donations,AT,NA,
Age group,35 to 44 years,2013,gs1datot,287.98647994015374,11.46386765424405,223.27946668054324,352.69349319976425,458,Total amount of donations,Average total amount of donations,AT,NA,
Age group,45 to 54 years,2013,gs1datot,363.21651131874813,8.916598997803936,299.7400205117081,426.69300212578815,636,Total amount of donations,Average total amount of donations,AT,NA,
Age group,55 to 64 years,2013,gs1datot,477.345165982679,8.016604150045604,402.34347430471803,552.34685766064,845,Total amount of donations,Average total amount of donations,AT,NA,
