refDate,geo,valNormP_TotNPOs,valNormP_BusNPOs,valNormP_CommNPOs,valNormP_GovNPOs,valNorm_TotNPOs,valNorm_BusNPOs,valNorm_CommNPOs,valNorm_GovNPOs,label_TotNPOs,label_BusNPOs,label_CommNPOs,label_GovNPOs
2012-01-01,PE,1.3193916349809887,1.2613636363636365,1.1842105263157894,1.354344122657581,1041000000,111000000,135000000,795000000,$1.0B,$111.0M,$135.0M,$795.0M
2012-01-01,QC,1.239713024826804,1.3412446271724912,1.2304064224786753,1.2218261041790452,50284000000,7177000000,12261000000,30845000000,$50.3B,$7.2B,$12.3B,$30.8B
2012-01-01,SK,1.2858615358185879,1.2534775888717156,1.4678068410462777,1.2476076555023923,7485000000,811000000,1459000000,5215000000,$7.5B,$811.0M,$1.5B,$5.2B
2012-01-01,YT,1.265536723163842,1.1666666666666667,1.3728813559322033,1.2234042553191489,224000000,28000000,81000000,115000000,$224.0M,$28.0M,$81.0M,$115.0M
2013-01-01,AB,1.3003582372998403,1.520206918849014,1.2300390843104412,1.2797198041349294,30128000000,4702000000,6609000000,18817000000,$30.1B,$4.7B,$6.6B,$18.8B
2013-01-01,BC,1.2899916828389244,1.417895009050944,1.1493288590604027,1.3062180047446623,32571000000,5483000000,6165000000,20923000000,$32.6B,$5.5B,$6.2B,$20.9B
2013-01-01,CA,1.2854357703428336,1.3747504591551545,1.2212761976047903,1.2898828409959833,233403000000,34432000000,52212000000,146759000000,$233.4B,$34.4B,$52.2B,$146.8B
2013-01-01,MB,1.2962904992956645,1.440149625935162,1.3153786104605776,1.2640501625638643,8282000000,1155000000,1685000000,5443000000,$8.3B,$1.2B,$1.7B,$5.4B
2013-01-01,NB,1.277196044211751,1.4584837545126355,1.1736434108527132,1.262617239839214,4391000000,808000000,757000000,2827000000,$4.4B,$808.0M,$757.0M,$2.8B
2013-01-01,NL,1.2943008408595453,1.3314763231197773,1.4311377245508983,1.2708498808578237,4156000000,478000000,478000000,3200000000,$4.2B,$478.0M,$478.0M,$3.2B
2013-01-01,NS,1.2511278195488722,1.2611806797853309,1.2735042735042734,1.2422723475355055,6656000000,705000000,1490000000,4461000000,$6.7B,$705.0M,$1.5B,$4.5B
