,Unnamed: 0,Unnamed: 0.1,Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
34,34,35,Découvrir ses points forts,Do not report motivation,2013,vd1dhrs,129.732509309157,4.78679590076486,117.561073308622,141.903945309692,3119,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,CA (without QC),
35,35,36,Découvrir ses points forts,Report motivation,2013,vd1dhrs,183.765856714605,4.88119039934612,166.185055515639,201.346657913571,3134,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,CA (without QC),
36,36,37,Contribution à la communauté,Do not report motivation,2013,vd1dhrs,131.282487969254,19.0434724171911,82.2819293879086,180.283046550598,396,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,CA (without QC),*
37,37,38,Contribution à la communauté,Report motivation,2013,vd1dhrs,160.854236846682,3.62873260310729,149.413985601414,172.294488091951,5875,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,CA (without QC),
38,38,39,Utiliser ses compétences et son expérience,Do not report motivation,2013,vd1dhrs,85.9812220561083,16.885323865161,57.5260576335417,114.436386478675,1327,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,CA (without QC),*
39,39,40,Utiliser ses compétences et son expérience,Report motivation,2013,vd1dhrs,179.33109409566,3.32634773201133,167.639564402975,191.022623788345,4938,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,CA (without QC),
40,40,41,"Soutenir une cause politique, environnementale ou sociale",Do not report motivation,2013,vd1dhrs,146.140774893259,3.93639782616425,134.865724798123,157.415824988395,4109,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,CA (without QC),
41,41,42,"Soutenir une cause politique, environnementale ou sociale",Report motivation,2013,vd1dhrs,184.52177863767,6.60299084042323,160.641663410073,208.401893865267,2138,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,CA (without QC),
42,42,43,Améliorer le bien-être ou la santé,Do not report motivation,2013,vd1dhrs,135.154670878715,4.5438198600508,123.11816989305,147.191171864381,2760,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,CA (without QC),
43,43,44,Améliorer le bien-être ou la santé,Report motivation,2013,vd1dhrs,179.999839457732,5.07436804440068,162.097813924202,197.901864991262,3500,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,CA (without QC),
44,44,45,Touché.e personnellement par la cause,Do not report motivation,2013,vd1dhrs,128.577928247539,14.9591427800474,90.8796754689638,166.276181026114,210,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,AB,
45,45,46,Touché.e personnellement par la cause,Report motivation,2013,vd1dhrs,181.656632270102,12.8393169514586,135.943469545842,227.369794994362,322,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,AB,
46,46,47,Touché.e personnellement par la cause,Do not report motivation,2013,vd1dhrs,155.602008559448,14.1801373702386,112.356229238817,198.84778788008,695,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,AT,
47,47,48,Touché.e personnellement par la cause,Report motivation,2013,vd1dhrs,184.198027454989,6.42369588221344,161.007104236176,207.388950673801,1222,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,AT,
48,48,49,Touché.e personnellement par la cause,Do not report motivation,2013,vd1dhrs,129.473539077408,8.74917798956035,107.27132110467,151.675757050146,390,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,BC,
49,49,50,Touché.e personnellement par la cause,Report motivation,2013,vd1dhrs,154.493552760498,6.42937701679052,135.025283472819,173.961822048177,615,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,BC,
50,50,51,Touché.e personnellement par la cause,Do not report motivation,2013,vd1dhrs,140.652949221209,9.15488171405357,115.415255166364,165.890643276055,677,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,ON,
51,51,52,Touché.e personnellement par la cause,Report motivation,2013,vd1dhrs,181.92734465385,7.86330269348867,153.88908419991,209.96560510779,1020,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,ON,
52,52,53,Touché.e personnellement par la cause,Do not report motivation,2013,vd1dhrs,116.756825655142,9.29404616501118,95.488407251209,138.025244059075,381,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,PR,
53,53,54,Touché.e personnellement par la cause,Report motivation,2013,vd1dhrs,163.155421542107,8.99842849805455,134.380359361938,191.930483722277,708,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,PR,
54,54,55,Touché.e personnellement par la cause,Do not report motivation,2013,vd1dhrs,106.532376464646,12.1856822817223,81.0887180370573,131.976034892234,420,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,QC,
55,55,56,Touché.e personnellement par la cause,Report motivation,2013,vd1dhrs,124.460168602051,6.56535685523036,108.444804639291,140.47553256481,814,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,QC,
56,56,57,Bénévoles dans la famille,Do not report motivation,2013,vd1dhrs,165.767885706586,12.6212027238241,124.76171344266,206.774057970511,399,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,AB,
57,57,58,Bénévoles dans la famille,Report motivation,2013,vd1dhrs,139.68945437055,14.8979508635251,98.9009059871154,180.478002753986,139,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,AB,
58,58,59,Bénévoles dans la famille,Do not report motivation,2013,vd1dhrs,159.484710768939,5.2404676906877,143.103832087671,175.865589450207,1432,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,AT,
59,59,60,Bénévoles dans la famille,Report motivation,2013,vd1dhrs,205.533240696327,14.9790683362942,145.191898930719,265.874582461935,502,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,AT,
60,60,61,Bénévoles dans la famille,Do not report motivation,2013,vd1dhrs,148.08612443402,5.988268953311,130.705564801008,165.466684067031,790,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,BC,
61,61,62,Bénévoles dans la famille,Report motivation,2013,vd1dhrs,132.386370615472,11.0252397854334,103.778903279024,160.99383795192,216,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,BC,
62,62,63,Bénévoles dans la famille,Do not report motivation,2013,vd1dhrs,180.098160437975,6.75297269850688,156.261118431681,203.935202444269,1325,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,ON,
63,63,64,Bénévoles dans la famille,Report motivation,2013,vd1dhrs,114.762210302998,8.62339667095789,95.365621505757,134.158799100239,380,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,ON,
64,64,65,Bénévoles dans la famille,Do not report motivation,2013,vd1dhrs,146.210953761805,6.9024062531864,126.430852162508,165.991055361102,823,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,PR,
65,65,66,Bénévoles dans la famille,Report motivation,2013,vd1dhrs,148.277399939962,16.3523553432843,100.754452430669,195.800347449256,275,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,PR,
66,66,67,Bénévoles dans la famille,Do not report motivation,2013,vd1dhrs,116.947249345236,6.36096005782277,102.367140336721,131.527358353751,954,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,QC,
67,67,68,Bénévoles dans la famille,Report motivation,2013,vd1dhrs,125.078951488857,14.951738108632,88.4247296101142,161.733173367601,285,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,QC,
68,68,69,Bénévoles parmi les amis,Do not report motivation,2013,vd1dhrs,166.030005384051,13.5869405464122,121.816357518492,210.243653249609,352,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,AB,
69,69,70,Bénévoles parmi les amis,Report motivation,2013,vd1dhrs,144.305905699056,13.1396744623489,107.142389171894,181.469422226219,185,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,AB,
70,70,71,Bénévoles parmi les amis,Do not report motivation,2013,vd1dhrs,179.843006452499,8.68745836300247,149.220947993857,210.465064911141,1173,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,AT,
71,71,72,Bénévoles parmi les amis,Report motivation,2013,vd1dhrs,163.298758761674,8.060307986744,137.500962337294,189.096555186053,759,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,AT,
72,72,73,Bénévoles parmi les amis,Do not report motivation,2013,vd1dhrs,152.166733313863,6.85429314341313,131.724399176,172.609067451726,625,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,BC,
73,73,74,Bénévoles parmi les amis,Report motivation,2013,vd1dhrs,133.457020583798,7.75314770935991,113.177038168711,153.737002998885,378,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,BC,
74,74,75,Bénévoles parmi les amis,Do not report motivation,2013,vd1dhrs,178.680170289556,7.51913560569863,152.347653727671,205.012686851441,1069,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,ON,
75,75,76,Bénévoles parmi les amis,Report motivation,2013,vd1dhrs,141.8890455856,8.86743692224828,117.228932360203,166.549158810997,635,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,ON,
