Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Province,Marker
Age group,65 to 74 years,2013,gs1datot,857.9124728,8.258653506,719.0450683,996.7798773,426,Total amount of donations,Average total amount of donations,ON,NA,
Age group,75 years and over,2013,gs1datot,909.598695,19.26319574,566.1781625,1253.019227,275,Total amount of donations,Average total amount of donations,ON,NA,*
Age group,15 to 24 years,2013,gs1datot,229.3299947,17.6271395,150.0997872,308.5602023,101,Total amount of donations,Average total amount of donations,PR,NA,*
Age group,25 to 34 years,2013,gs1datot,427.1386104,12.98376468,318.4416106,535.8356103,243,Total amount of donations,Average total amount of donations,PR,NA,
Age group,35 to 44 years,2013,gs1datot,656.7307887,12.28670615,498.5801537,814.8814237,271,Total amount of donations,Average total amount of donations,PR,NA,
Age group,45 to 54 years,2013,gs1datot,874.7920753,20.04877055,531.0436822,1218.540468,328,Total amount of donations,Average total amount of donations,PR,NA,*
Age group,55 to 64 years,2013,gs1datot,1009.602389,25.58753161,503.2803255,1515.924453,412,Total amount of donations,Average total amount of donations,PR,NA,*
Age group,65 to 74 years,2013,gs1datot,914.226406,13.26050771,676.6178885,1151.834924,302,Total amount of donations,Average total amount of donations,PR,NA,
Age group,75 years and over,2013,gs1datot,773.5615014,10.9411975,607.6762421,939.4467607,245,Total amount of donations,Average total amount of donations,PR,NA,
Age group,15 to 24 years,2013,gs1datot,64.11210425,22.45608307,35.89437068,92.32983781,136,Total amount of donations,Average total amount of donations,QC,NA,*
Age group,25 to 34 years,2013,gs1datot,146.5881275,15.92565837,100.8325245,192.3437306,283,Total amount of donations,Average total amount of donations,QC,NA,
Age group,35 to 44 years,2013,gs1datot,191.5840999,11.26215766,149.2949304,233.8732694,407,Total amount of donations,Average total amount of donations,QC,NA,
Age group,45 to 54 years,2013,gs1datot,384.1587789,27.86539286,174.3498225,593.9677353,396,Total amount of donations,Average total amount of donations,QC,NA,*
Age group,55 to 64 years,2013,gs1datot,316.1961855,13.15313405,234.6818554,397.7105155,464,Total amount of donations,Average total amount of donations,QC,NA,
Age group,65 to 74 years,2013,gs1datot,350.3661819,15.51146099,243.8481886,456.8841753,326,Total amount of donations,Average total amount of donations,QC,NA,
Age group,75 years and over,2013,gs1datot,439.3775069,33.90649837,147.3869191,731.3680947,168,Total amount of donations,Average total amount of donations,QC,NA,...
Sex,Male,2013,gs1datot,980.9428352,15.11134171,690.4102712,1271.475399,386,Total amount of donations,Average total amount of donations,AB,NA,
Sex,Female,2013,gs1datot,753.2265946,10.031312,605.1346368,901.3185524,502,Total amount of donations,Average total amount of donations,AB,NA,
Sex,Male,2013,gs1datot,368.2891629,6.67797633,320.085293,416.4930329,1430,Total amount of donations,Average total amount of donations,AT,NA,
Sex,Female,2013,gs1datot,384.3627132,4.469023801,350.6959,418.0295264,2076,Total amount of donations,Average total amount of donations,AT,NA,
Sex,Male,2013,gs1datot,749.941599,11.463952,581.4377232,918.4454747,633,Total amount of donations,Average total amount of donations,BC,NA,
Sex,Female,2013,gs1datot,665.6875885,12.66683245,500.4204237,830.9547533,863,Total amount of donations,Average total amount of donations,BC,NA,
Sex,Male,2013,gs1datot,620.5374047,8.295277798,519.6476676,721.4271419,1123,Total amount of donations,Average total amount of donations,ON,NA,
Sex,Female,2013,gs1datot,453.2177244,4.991399349,408.8796023,497.5558465,1518,Total amount of donations,Average total amount of donations,ON,NA,
Sex,Male,2013,gs1datot,721.310358,14.45839437,516.9059175,925.7147985,834,Total amount of donations,Average total amount of donations,PR,NA,
Sex,Female,2013,gs1datot,665.0545217,6.997216088,573.8470058,756.2620376,1068,Total amount of donations,Average total amount of donations,PR,NA,
Sex,Male,2013,gs1datot,245.6843442,8.314029264,205.649594,285.7190944,968,Total amount of donations,Average total amount of donations,QC,NA,
Sex,Female,2013,gs1datot,283.3108459,16.54373586,191.4469458,375.174746,1212,Total amount of donations,Average total amount of donations,QC,NA,*
Education,Less than High School,2013,gs1datot,615.1231521,31.80370387,231.6915842,998.5547199,63,Total amount of donations,Average total amount of donations,AB,NA,*
Education,Graduated from High school,2013,gs1datot,760.9354969,26.09321919,371.7796164,1150.091377,236,Total amount of donations,Average total amount of donations,AB,NA,*
Education,Post-secondary diploma,2013,gs1datot,777.9347396,14.18981495,561.5792153,994.290264,301,Total amount of donations,Average total amount of donations,AB,NA,
Education,University Diploma,2013,gs1datot,1214.662471,12.01426236,928.6395638,1500.685377,235,Total amount of donations,Average total amount of donations,AB,NA,
Education,Not stated,2013,gs1datot,841.1389402,29.53897034,354.158876,1328.119004,53,Total amount of donations,Average total amount of donations,AB,NA,*
Education,Less than High School,2013,gs1datot,255.6026939,10.19009807,204.5531482,306.6522396,538,Total amount of donations,Average total amount of donations,AT,NA,
Education,Graduated from High school,2013,gs1datot,339.5049139,10.05684062,272.5849462,406.4248816,833,Total amount of donations,Average total amount of donations,AT,NA,
Education,Post-secondary diploma,2013,gs1datot,378.0262814,6.763420392,327.9148893,428.1376735,1077,Total amount of donations,Average total amount of donations,AT,NA,
Education,University Diploma,2013,gs1datot,552.2559575,7.022817078,476.2408599,628.271055,851,Total amount of donations,Average total amount of donations,AT,NA,
Education,Not stated,2013,gs1datot,193.8159881,9.140766037,159.0927448,228.5392314,207,Total amount of donations,Average total amount of donations,AT,NA,
Education,Less than High School,2013,gs1datot,360.5481205,33.13646072,126.3855662,594.7106749,113,Total amount of donations,Average total amount of donations,BC,NA,*
Education,Graduated from High school,2013,gs1datot,427.4398991,19.18838289,266.6859963,588.1938019,366,Total amount of donations,Average total amount of donations,BC,NA,*
Education,Post-secondary diploma,2013,gs1datot,600.5791943,11.56091004,464.494151,736.6642376,463,Total amount of donations,Average total amount of donations,BC,NA,
Education,University Diploma,2013,gs1datot,1058.968243,15.31430941,741.1136843,1376.822802,442,Total amount of donations,Average total amount of donations,BC,NA,
Education,Not stated,2013,gs1datot,1075.079799,27.93902016,486.3717638,1663.787834,112,Total amount of donations,Average total amount of donations,BC,NA,*
Education,Less than High School,2013,gs1datot,348.8705903,25.00656854,177.8822283,519.8589524,201,Total amount of donations,Average total amount of donations,ON,NA,*
Education,Graduated from High school,2013,gs1datot,416.4231869,13.19105023,308.7612054,524.0851685,664,Total amount of donations,Average total amount of donations,ON,NA,
Education,Post-secondary diploma,2013,gs1datot,447.0297231,7.643127696,380.0635306,513.9959156,788,Total amount of donations,Average total amount of donations,ON,NA,
Education,University Diploma,2013,gs1datot,832.0674602,7.076251563,716.6663749,947.4685455,847,Total amount of donations,Average total amount of donations,ON,NA,
Education,Not stated,2013,gs1datot,421.8177392,18.17512554,271.5553292,572.0801492,141,Total amount of donations,Average total amount of donations,ON,NA,*
Education,Less than High School,2013,gs1datot,412.4491862,14.75362892,293.1829819,531.7153906,254,Total amount of donations,Average total amount of donations,PR,NA,
Education,Graduated from High school,2013,gs1datot,473.1827171,9.94111947,380.9866791,565.378755,531,Total amount of donations,Average total amount of donations,PR,NA,
Education,Post-secondary diploma,2013,gs1datot,551.9312486,7.704881265,468.5825113,635.2799858,602,Total amount of donations,Average total amount of donations,PR,NA,
Education,University Diploma,2013,gs1datot,1367.245867,18.16945241,880.3494834,1854.142251,426,Total amount of donations,Average total amount of donations,PR,NA,*
Education,Not stated,2013,gs1datot,782.7998201,22.49356227,437.6902143,1127.909426,89,Total amount of donations,Average total amount of donations,PR,NA,*
Education,Less than High School,2013,gs1datot,133.4381638,13.11451625,99.13924546,167.737082,215,Total amount of donations,Average total amount of donations,QC,NA,
Education,Graduated from High school,2013,gs1datot,231.3629161,23.40158249,125.2454021,337.4804301,469,Total amount of donations,Average total amount of donations,QC,NA,*
Education,Post-secondary diploma,2013,gs1datot,189.8611974,18.43972198,121.2430995,258.4792953,726,Total amount of donations,Average total amount of donations,QC,NA,*
Education,University Diploma,2013,gs1datot,490.3555004,15.78744038,338.6257073,642.0852935,631,Total amount of donations,Average total amount of donations,QC,NA,
Education,Not stated,2013,gs1datot,128.6676091,19.89963859,78.48392843,178.8512898,139,Total amount of donations,Average total amount of donations,QC,NA,*
Marital status,Married/common-law,2013,gs1datot,981.4946155,9.102142807,806.3972316,1156.591999,557,Total amount of donations,Average total amount of donations,AB,NA,
Marital status,Widowed,2013,gs1datot,752.8937074,26.94111157,355.3386626,1150.448752,71,Total amount of donations,Average total amount of donations,AB,NA,*
Marital status,Separated/divorced,2013,gs1datot,662.4500282,26.90843761,313.0767412,1011.823315,79,Total amount of donations,Average total amount of donations,AB,NA,*
Marital status,"Single, never married",2013,gs1datot,602.4643323,38.61374468,146.5099941,1058.41867,181,Total amount of donations,Average total amount of donations,AB,NA,...
Marital status,Married/common-law,2013,gs1datot,398.0719523,4.905781804,359.7967144,436.3471901,2115,Total amount of donations,Average total amount of donations,AT,NA,
Marital status,Widowed,2013,gs1datot,718.3700178,9.175316686,589.1834524,847.5565832,411,Total amount of donations,Average total amount of donations,AT,NA,
