refDate,geo,valNormP_coreEmp_All,valNormP_govtEmp_All,valNormP_coreEmp_Sports,valNormP_coreEmp_Education,valNormP_govtEmp_Education,valNormP_coreEmp_Health,valNormP_govtEmp_Health,valNormP_coreEmp_SocServ,valNormP_govtEmp_SocServ,valNormP_coreEmp_Environment,valNormP_coreEmp_DevtHousing,valNormP_coreEmp_Advocacy,valNormP_coreEmp_Fdns,valNormP_coreEmp_International,valNormP_coreEmp_Religion,valNormP_coreEmp_ProfAssoc,valNormP_coreEmp_Other,valNorm_coreEmp_All,valNorm_govtEmp_All,valNorm_coreEmp_Sports,valNorm_coreEmp_Education,valNorm_govtEmp_Education,valNorm_coreEmp_Health,valNorm_govtEmp_Health,valNorm_coreEmp_SocServ,valNorm_govtEmp_SocServ,valNorm_coreEmp_Environment,valNorm_coreEmp_DevtHousing,valNorm_coreEmp_Advocacy,valNorm_coreEmp_Fdns,valNorm_coreEmp_International,valNorm_coreEmp_Religion,valNorm_coreEmp_ProfAssoc,valNorm_coreEmp_Other
2009-01-01,SK,1.1176470588235294,1.0526315789473684,1,1,1.0714285714285714,1,1.0526315789473684,1.25,1,NA,NA,NA,1,NA,1,1,1.5,19000,60000,2000,1000,15000,1000,40000,5000,5000,NA,NA,NA,1000,NA,3000,4000,3000
2009-01-01,AB,1.0793650793650793,1.0424242424242425,1.1428571428571428,1.2,1,1,1.0566037735849056,0.9166666666666666,1.1538461538461537,NA,1,1,1,1,1,1.0588235294117647,1.3333333333333333,68000,172000,8000,6000,44000,2000,112000,11000,15000,NA,2000,1000,3000,1000,8000,18000,8000
2009-01-01,BC,1.0823529411764705,1.0809248554913296,1,1.0909090909090908,1.0740740740740742,1,1.0754716981132075,1,1.1538461538461537,NA,1.3333333333333333,1,1,1,1,1.1,1.5,92000,187000,9000,12000,58000,3000,114000,17000,15000,NA,4000,1000,3000,1000,11000,22000,9000
2009-01-01,YT,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-01-01,NT,1,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1000,2000,NA,NA,NA,NA,2000,NA,1000,NA,NA,NA,NA,NA,NA,NA,NA
2009-01-01,NU,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-01-01,CA,1.0576631259484066,1.0247524752475248,1,1.0634920634920635,1.0120481927710843,1,1.0293785310734462,1.176056338028169,1.0260869565217392,1,1.1111111111111112,1,0.96,1,0.987012987012987,1.01875,1.125,697000,1449000,63000,67000,420000,29000,911000,167000,118000,1000,20000,10000,24000,5000,76000,163000,72000
2010-01-01,NL,1.1428571428571428,1.064516129032258,1,NA,1.1111111111111112,NA,1.05,1,1,NA,NA,NA,NA,NA,1,1,1,8000,33000,1000,NA,10000,NA,21000,1000,3000,NA,NA,NA,NA,NA,1000,2000,1000
2010-01-01,PE,1,1.1428571428571428,NA,NA,1,NA,1.2,1,NA,NA,NA,NA,NA,NA,NA,1,NA,3000,8000,NA,NA,2000,NA,6000,1000,NA,NA,NA,NA,NA,NA,NA,1000,NA
2010-01-01,NS,1,1.0416666666666667,0.5,1,1.0714285714285714,1,1.0689655172413792,1,1,NA,NA,NA,1,NA,1,1,1,18000,50000,1000,1000,15000,2000,31000,4000,4000,NA,NA,NA,1000,NA,2000,5000,1000
