,Unnamed: 0,Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
38,39,N'aimaient pas les méthodes de sollicitation,Do not report barrier,2018,gs1datot,218.24020815189,2.40373018945591,207.958421778597,228.521994525183,5927,Total donation amount,Average Amount Donated by Donors Reporting Barriers,CA (without QC),
39,40,N'aimaient pas les méthodes de sollicitation,Report barrier,2018,gs1datot,264.374842643819,3.29184125249254,247.31766782169998,281.432017465938,2077,Total donation amount,Average Amount Donated by Donors Reporting Barriers,CA (without QC),
40,41,Montant déjà donné suffisant,Do not report barrier,2018,gs1datot,204.511523057774,10.5878209003075,162.071807899407,246.951238216141,248,Total donation amount,Average Amount Donated by Donors Reporting Barriers,AB,
41,42,Montant déjà donné suffisant,Report barrier,2018,gs1datot,283.88125348885603,5.182844677212139,255.044059494141,312.718447483571,491,Total donation amount,Average Amount Donated by Donors Reporting Barriers,AB,
42,43,Montant déjà donné suffisant,Do not report barrier,2018,gs1datot,162.775541925782,6.77989859666829,141.145346694818,184.405737156746,632,Total donation amount,Average Amount Donated by Donors Reporting Barriers,AT,
43,44,Montant déjà donné suffisant,Report barrier,2018,gs1datot,209.09064269932202,3.3859560204033,195.21465195762198,222.966633441023,1918,Total donation amount,Average Amount Donated by Donors Reporting Barriers,AT,
44,45,Montant déjà donné suffisant,Do not report barrier,2018,gs1datot,171.171473595686,7.66804072864468,145.445969626713,196.89697756465802,396,Total donation amount,Average Amount Donated by Donors Reporting Barriers,BC,
45,46,Montant déjà donné suffisant,Report barrier,2018,gs1datot,262.26692921665796,4.94553213847651,236.84522561992,287.68863281339503,768,Total donation amount,Average Amount Donated by Donors Reporting Barriers,BC,
46,47,Montant déjà donné suffisant,Do not report barrier,2018,gs1datot,185.80382959460601,6.0735605184497095,163.685816275149,207.921842914063,707,Total donation amount,Average Amount Donated by Donors Reporting Barriers,ON,
47,48,Montant déjà donné suffisant,Report barrier,2018,gs1datot,249.376860041508,3.5015194362580297,232.26249524894402,266.49122483407103,1805,Total donation amount,Average Amount Donated by Donors Reporting Barriers,ON,
48,49,Montant déjà donné suffisant,Do not report barrier,2018,gs1datot,196.87737388102502,8.89411723660268,162.557415817064,231.19733194498698,361,Total donation amount,Average Amount Donated by Donors Reporting Barriers,PR,
49,50,Montant déjà donné suffisant,Report barrier,2018,gs1datot,268.84962387355597,4.38735669614348,245.73108041790002,291.968167329212,846,Total donation amount,Average Amount Donated by Donors Reporting Barriers,PR,
50,51,Montant déjà donné suffisant,Do not report barrier,2018,gs1datot,93.18438873678059,10.118520642238302,74.7041203673262,111.66465710623501,301,Total donation amount,Average Amount Donated by Donors Reporting Barriers,QC,
51,52,Montant déjà donné suffisant,Report barrier,2018,gs1datot,167.307027941086,4.01730787247491,154.133642736404,180.480413145768,998,Total donation amount,Average Amount Donated by Donors Reporting Barriers,QC,
52,53,Pas les moyens de donner plus,Do not report barrier,2018,gs1datot,271.63163736733895,7.995588295892321,229.064066656457,314.19920807822103,253,Total donation amount,Average Amount Donated by Donors Reporting Barriers,AB,
53,54,Pas les moyens de donner plus,Report barrier,2018,gs1datot,241.227822337822,6.39146844679978,211.009097330926,271.446547344719,489,Total donation amount,Average Amount Donated by Donors Reporting Barriers,AB,
54,55,Pas les moyens de donner plus,Do not report barrier,2018,gs1datot,206.51127520896702,5.23895239804812,185.306371147808,227.716179270127,787,Total donation amount,Average Amount Donated by Donors Reporting Barriers,AT,
55,56,Pas les moyens de donner plus,Report barrier,2018,gs1datot,191.873955488376,3.7220452808244104,177.87660710710603,205.871303869645,1776,Total donation amount,Average Amount Donated by Donors Reporting Barriers,AT,
56,57,Pas les moyens de donner plus,Do not report barrier,2018,gs1datot,264.150843114344,7.16423870589056,227.05970667431,301.241979554379,364,Total donation amount,Average Amount Donated by Donors Reporting Barriers,BC,
57,58,Pas les moyens de donner plus,Report barrier,2018,gs1datot,207.883294773937,4.855483365322,188.09993026240002,227.66665928547403,794,Total donation amount,Average Amount Donated by Donors Reporting Barriers,BC,
58,59,Pas les moyens de donner plus,Do not report barrier,2018,gs1datot,259.719192157335,6.155266454593019,228.38640762562198,291.051976689047,816,Total donation amount,Average Amount Donated by Donors Reporting Barriers,ON,
59,60,Pas les moyens de donner plus,Report barrier,2018,gs1datot,215.36113621730598,3.3309430034152205,201.301223446394,229.42104898821702,1702,Total donation amount,Average Amount Donated by Donors Reporting Barriers,ON,
60,61,Pas les moyens de donner plus,Do not report barrier,2018,gs1datot,269.975853225677,6.87696245489219,233.586891289014,306.36481516234,404,Total donation amount,Average Amount Donated by Donors Reporting Barriers,PR,
