geo,refDate,CommNPOs,GovNPOs,BusNPOs,TotNPOs,TotEcon
CA,2013-01-01,1.1948982660118272,1.1815418381344307,1.171975051975052,1.1827722900961788,1.2105936739101935
NL,2013-01-01,1.25,1.1628264208909371,1.1395348837209303,1.1684618698836708,1.3784269842538566
PE,2013-01-01,1.1551724137931034,2.315315315315315,1,1.9316770186335404,1.1679157383026129
NS,2013-01-01,1.172340425531915,1.1917902725077614,1.0746268656716418,1.1809183392906242,1.1062705327810314
NB,2013-01-01,1.1643835616438356,1.1433724075743914,1.244360902255639,1.1552593659942363,1.1029605035622883
QC,2013-01-01,1.190306803023566,1.2042119879657487,1.130400934215648,1.1954937044400265,1.159288838182164
ON,2013-01-01,1.1905867970660147,1.1553054255722777,1.1493252067914672,1.1612089545515967,1.1631872565874881
MB,2013-01-01,1.234093637454982,1.2111444960393336,1.2285714285714286,1.216437794630047,1.2267909464535032
SK,2013-01-01,1.2605210420841684,1.1909562211981566,1.0419354838709678,1.1882737678112592,1.3841176372739823
AB,2013-01-01,1.2764589515331355,1.2249456757931334,1.2956228956228957,1.2389421795896616,1.393759431832511
BC,2013-01-01,1.1347670250896058,1.1430541192692174,1.2084006462035541,1.1490985170143375,1.165517032581656
YT,2013-01-01,1.3636363636363635,1.3492063492063493,1,1.3148148148148149,1.2419279363593823
NT,2013-01-01,1.1590909090909092,1.1825726141078838,1.1162790697674418,1.170731707317073,1.118204488778055
NU,2013-01-01,1.1538461538461537,0.7222222222222222,1.2272727272727273,0.9652173913043478,1.4921976592977892
CA,2014-01-01,1.2467174501353113,1.228246913580247,1.2246985446985448,1.2308942032752794,1.2695569497000638
NL,2014-01-01,1.239795918367347,1.2012288786482335,1.2093023255813953,1.2055148642826368,1.3708336663735912
PE,2014-01-01,1.1896551724137931,2.3873873873873874,1.0476190476190477,1.9968944099378882,1.1865505367632165
NS,2014-01-01,1.2574468085106383,1.2469817178337357,1.1343283582089552,1.23975804234259,1.1380659905727752
NB,2014-01-01,1.1883561643835616,1.166366095581605,1.2744360902255638,1.1786743515850144,1.1227087224182057
QC,2014-01-01,1.2378835037794576,1.2498958574404073,1.1389645776566757,1.238115168637299,1.1943905685491538
ON,2014-01-01,1.2465770171149144,1.2093714430251676,1.1935132781889422,1.2146074501148596,1.21473097852874
MB,2014-01-01,1.283313325330132,1.2682327232996449,1.2935064935064935,1.2728018036482887,1.2645271665388473
SK,2014-01-01,1.3266533066132264,1.2453917050691243,1.0870967741935484,1.2434010745153001,1.3790608313788113
AB,2014-01-01,1.357566765578635,1.256844850065189,1.41010101010101,1.2855715427657874,1.532713967857535
BC,2014-01-01,1.1609318996415772,1.1842468114443296,1.2934841141626279,1.1927266014399114,1.2305642878407903
YT,2014-01-01,1.393939393939394,1.4444444444444444,1,1.3796296296296295,1.2840430510060834
NT,2014-01-01,1.2954545454545454,1.2157676348547717,1.186046511627907,1.2195121951219512,1.1925187032418954
NU,2014-01-01,1.1538461538461537,0.7222222222222222,1.3181818181818181,0.9826086956521739,1.5494148244473342
CA,2015-01-01,1.298185827403027,1.2811851851851852,1.3265696465696466,1.2883740577073044,1.2667205062704683
NL,2015-01-01,1.2908163265306123,1.2570404505888377,1.3255813953488371,1.2649719948298148,1.245344097194469
PE,2015-01-01,1.1896551724137931,2.5,1.119047619047619,2.0838509316770186,1.2331375329147256
NS,2015-01-01,1.2851063829787235,1.279751638496033,1.2686567164179106,1.2796260654385483,1.1627196114840737
NB,2015-01-01,1.2191780821917808,1.1893597835888188,1.3609022556390977,1.2089337175792507,1.1569827765096492
QC,2015-01-01,1.2534459759893286,1.2985420041657023,1.2323861424678864,1.2855498587422831,1.2285827470368258
ON,2015-01-01,1.3113691931540343,1.2672631845200455,1.282107096212451,1.2769244628620333,1.270523507111697
MB,2015-01-01,1.3421368547418968,1.3343348811800055,1.3038961038961039,1.3332650133224022,1.29673765559554
SK,2015-01-01,1.4148296593186374,1.3341013824884793,1.232258064516129,1.33590282644242,1.3254154398922102
AB,2015-01-01,1.4248269040553907,1.3136027813993916,1.5225589225589227,1.349253930189182,1.3181339310047469
