Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Province,Marker
Marital status,Widowed,2013,fv1fvol,0.35414057896460704,11.737878678975704,0.27266763671324973,0.43561352121596436,169,Formal volunteer flag,Volunteer rate,59,BC,
Marital status,Separated/divorced,2013,fv1fvol,0.4268457199159587,9.967576952746706,0.34345674805586945,0.510234691776048,208,Formal volunteer flag,Volunteer rate,59,BC,
Marital status,"Single, never married",2013,fv1fvol,0.5318882597839522,7.097141639101586,0.4579018475357267,0.6058746720321776,380,Formal volunteer flag,Volunteer rate,59,BC,
Labour force status,Employed,2013,fv1fvol,0.5122507382335857,6.042009271423284,0.45158938821047556,0.5729120882566958,393,Formal volunteer flag,Volunteer rate,10,NL,
Labour force status,Unemployed,2013,fv1fvol,0.41501603086748795,24.02123137425649,0.21962337773004423,0.6104086840049316,36,Formal volunteer flag,Volunteer rate,10,NL,*
Labour force status,Not in labour force,2013,fv1fvol,0.4032804231988707,7.744954775156031,0.3420631307697867,0.46449771562795467,332,Formal volunteer flag,Volunteer rate,10,NL,
Labour force status,Unable to determine,2013,fv1fvol,0.4687021465317414,15.04229826375369,0.3305176790445735,0.6068866140189093,70,Formal volunteer flag,Volunteer rate,10,NL,
Labour force status,Employed,2013,fv1fvol,0.5406292621494602,5.603583925410943,0.4812529089413779,0.6000056153575425,455,Formal volunteer flag,Volunteer rate,11,PE,
Labour force status,Unemployed,2013,fv1fvol,0.4444816508973612,22.08064092062868,0.2521221669192226,0.6368411348754998,44,Formal volunteer flag,Volunteer rate,11,PE,*
Labour force status,Not in labour force,2013,fv1fvol,0.4446276653186241,7.645056062064764,0.3780045023664986,0.5112508282707496,347,Formal volunteer flag,Volunteer rate,11,PE,
Labour force status,Unable to determine,2013,fv1fvol,0.525384966876583,18.84830635911005,0.33129724383122444,0.7194726899219415,43,Formal volunteer flag,Volunteer rate,11,PE,*
Labour force status,Employed,2013,fv1fvol,0.5802608394294075,4.403824577968015,0.5301765676088597,0.6303451112499554,544,Formal volunteer flag,Volunteer rate,12,NS,
Labour force status,Unemployed,2013,fv1fvol,0.4375532040137291,19.925189499008926,0.2666770660454679,0.6084293419819903,53,Formal volunteer flag,Volunteer rate,12,NS,*
Labour force status,Not in labour force,2013,fv1fvol,0.41859349224216424,6.690232626177275,0.36370493920822156,0.47348204527610693,465,Formal volunteer flag,Volunteer rate,12,NS,
Labour force status,Unable to determine,2013,fv1fvol,0.45116468045137836,15.521359684346962,0.3139144925718096,0.5884148683309471,59,Formal volunteer flag,Volunteer rate,12,NS,
Labour force status,Employed,2013,fv1fvol,0.4398913491946217,5.889733209239552,0.3891117656174806,0.49067093277176277,582,Formal volunteer flag,Volunteer rate,13,NB,
Labour force status,Unemployed,2013,fv1fvol,0.3140386468722911,27.321914964118534,0.14587104782445454,0.4822062459201277,40,Formal volunteer flag,Volunteer rate,13,NB,*
Labour force status,Not in labour force,2013,fv1fvol,0.3586288723989137,7.739625360894157,0.3042270709901868,0.41303067380764064,485,Formal volunteer flag,Volunteer rate,13,NB,
Labour force status,Unable to determine,2013,fv1fvol,0.49313318992258465,17.578471961116513,0.3232331640706553,0.663033215774514,53,Formal volunteer flag,Volunteer rate,13,NB,*
Labour force status,Employed,2013,fv1fvol,0.3377528843214446,4.381778453584492,0.3087462344365853,0.36675953420630397,1478,Formal volunteer flag,Volunteer rate,24,QC,
Labour force status,Unemployed,2013,fv1fvol,0.3854779586622666,15.460197453100971,0.268672624074296,0.5022832932502372,84,Formal volunteer flag,Volunteer rate,24,QC,
Labour force status,Not in labour force,2013,fv1fvol,0.28206938814133226,5.888626729921024,0.24951436012005435,0.31462441616261017,923,Formal volunteer flag,Volunteer rate,24,QC,
Labour force status,Unable to determine,2013,fv1fvol,0.3358111879119148,12.952453409400851,0.25056101062333425,0.4210613652004953,150,Formal volunteer flag,Volunteer rate,24,QC,
Labour force status,Employed,2013,fv1fvol,0.4641662933864571,3.1648855730912624,0.43537377163862356,0.49295881513429063,1687,Formal volunteer flag,Volunteer rate,35,ON,
Labour force status,Unemployed,2013,fv1fvol,0.4631886192853418,12.473314777541011,0.34995175006309653,0.576425488507587,96,Formal volunteer flag,Volunteer rate,35,ON,
Labour force status,Not in labour force,2013,fv1fvol,0.3963958546994681,4.301669290460216,0.36297525687156246,0.4298164525273737,1087,Formal volunteer flag,Volunteer rate,35,ON,
Labour force status,Unable to determine,2013,fv1fvol,0.4844455766753141,10.136004206832759,0.38820463405573047,0.5806865192948978,166,Formal volunteer flag,Volunteer rate,35,ON,
Labour force status,Employed,2013,fv1fvol,0.5674560921451917,4.155579131115607,0.5212380110197616,0.6136741732706217,657,Formal volunteer flag,Volunteer rate,46,MB,
Labour force status,Unemployed,2013,fv1fvol,0.6582797930918614,16.00778595477253,0.4517465885448357,0.864812997638887,27,Formal volunteer flag,Volunteer rate,46,MB,
Labour force status,Not in labour force,2013,fv1fvol,0.42475977101857043,6.730664976384751,0.3687260526724452,0.4807934893646957,478,Formal volunteer flag,Volunteer rate,46,MB,
